"Friedrich Nietzsche","The best weapon against an enemy is another enemy."
"Friedrich Nietzsche","The essence of all beautiful art, all great art, is gratitude."
"Friedrich Nietzsche","He who would learn to fly one day must first learn to stand and walk and run and climb and dance; one cannot fly into flying.."
"Friedrich Nietzsche","Hope in reality is the worst of all evils because it prolongs the torments of man."
"Friedrich Nietzsche","On the mountains of truth you can never climb in vain: either you will reach a point higher up today, or you will be training your powers so that you will be able to climb higher tomorrow."
"Friedrich Nietzsche","Thoughts are the shadows of our feelings - always darker, emptier and simpler."
"Friedrich Nietzsche","He who has a why to live can bear almost any how."
"Friedrich Nietzsche","That which does not kill us makes us stronger."
"Friedrich Nietzsche","To live is to suffer, to survive is to find some meaning in the suffering."
"Friedrich Nietzsche","All things are subject to interpretation whichever interpretation prevails at a given time is a function of power and not truth.."
"Friedrich Nietzsche","You have your way. I have my way. As for the right way, the correct way, and the only way, it does not exist."
"Friedrich Nietzsche","Without music, life would be a mistake."
"Friedrich Nietzsche","The individual has always had to struggle to keep from being overwhelmed by the tribe. If you try it, you will be lonely often, and sometimes frightened. But no price is too high to pay for the privilege of owning yourself."
"Friedrich Nietzsche","We love life, not because we are used to living but because we are used to loving."
"Friedrich Nietzsche","Whoever fights monsters should see to it that in the process he does not become a monster. And if you gaze long enough into an abyss, the abyss will gaze back into you."
"Friedrich Nietzsche","Undeserved praise causes more pangs of conscience later than undeserved blame, but probably only for this reason, that our power of judgment are more completely exposed by being over praised than by being unjustly underestimated."
"Friedrich Nietzsche","Love is blind; friendship closes its eyes."
"Friedrich Nietzsche","Those who cannot understand how to put their thoughts on ice should not enter into the heat of debate."
"Friedrich Nietzsche","Many are stubborn in pursuit of the path they have chosen, few in pursuit of the goal."
"Friedrich Nietzsche","It is not when truth is dirty, but when it is shallow, that the lover of knowledge is reluctant to step into its waters."
"Friedrich Nietzsche","Arrogance on the part of the meritorious is even more offensive to us than the arrogance of those without merit: for merit itself is offensive."
"Friedrich Nietzsche","There are slavish souls who carry their appreciation for favors done them so far that they strangle themselves with the rope of gratitude."
"PJ
  MNF","Have I seen you since I was in the States in May? When I discovered pie milkshake?
No ... and I don't always remember, but I would have written that shit down!"
"AMC","Peter's on the Nope Rocket"
"MW","Are you Alexandering?"
"Kyle","Search for Guardian Nike+ Penises"
"AMC","Somebody did an accidental penis"
"MW","I'm like a girl scout, but with stationery"
"MWMNF","Mic Drop. Norm out."
"MW to DT amp EW who were giggling like schoolkids","Are you talking about boyjunk again? You always laugh like that when you're talking about boyjunk."
"EW","And you can look through those big windows and see the Science"
"MW","Go! Get thee Pick 'n' Mix!"
"Dave Green","That's either the cloud, or you have a strangely deformed penis"
